"","...1","country","region","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption","latitude","longitude","Year","Score"
"69",10,"Austria","Western Europe",10.906,0.934,73.3,0.908,0.042,0.481,47.516231,14.550072,"2020",7.237500191
"70",10,"Austria","Western Europe",10.906,0.934,73.3,0.908,0.042,0.481,47.516231,14.550072,"2021",7.268
"71",11,"Australia","North America and ANZ",10.796,0.94,73.9,0.914,0.159,0.442,-25.274398,133.775136,"2015",7.284
"72",11,"Australia","North America and ANZ",10.796,0.94,73.9,0.914,0.159,0.442,-25.274398,133.775136,"2016",7.313
"73",11,"Australia","North America and ANZ",10.796,0.94,73.9,0.914,0.159,0.442,-25.274398,133.775136,"2017",7.28399992
"74",11,"Australia","North America and ANZ",10.796,0.94,73.9,0.914,0.159,0.442,-25.274398,133.775136,"2018",7.272
"75",11,"Australia","North America and ANZ",10.796,0.94,73.9,0.914,0.159,0.442,-25.274398,133.775136,"2019",7.228
"76",11,"Australia","North America and ANZ",10.796,0.94,73.9,0.914,0.159,0.442,-25.274398,133.775136,"2020",7.23210001
"77",11,"Australia","North America and ANZ",10.796,0.94,73.9,0.914,0.159,0.442,-25.274398,133.775136,"2021",7.183
"78",12,"Israel","Middle East and North Africa",10.575,0.939,73.503,0.8,0.031,0.753,31.046051,34.851612,"2015",7.278
"79",12,"Israel","Middle East and North Africa",10.575,0.939,73.503,0.8,0.031,0.753,31.046051,34.851612,"2016",7.267
"80",12,"Israel","Middle East and North Africa",10.575,0.939,73.503,0.8,0.031,0.753,31.046051,34.851612,"2017",7.212999821
"81",12,"Israel","Middle East and North Africa",10.575,0.939,73.503,0.8,0.031,0.753,31.046051,34.851612,"2018",6.814
"82",12,"Israel","Middle East and North Africa",10.575,0.939,73.503,0.8,0.031,0.753,31.046051,34.851612,"2019",7.139
"83",12,"Israel","Middle East and North Africa",10.575,0.939,73.503,0.8,0.031,0.753,31.046051,34.851612,"2020",7.222799778
"84",12,"Israel","Middle East and North Africa",10.575,0.939,73.503,0.8,0.031,0.753,31.046051,34.851612,"2021",7.157
"85",13,"Germany","Western Europe",10.873,0.903,72.5,0.875,0.011,0.46,51.165691,10.451526,"2015",6.75
"86",13,"Germany","Western Europe",10.873,0.903,72.5,0.875,0.011,0.46,51.165691,10.451526,"2016",6.994
"87",13,"Germany","Western Europe",10.873,0.903,72.5,0.875,0.011,0.46,51.165691,10.451526,"2017",6.951000214
"88",13,"Germany","Western Europe",10.873,0.903,72.5,0.875,0.011,0.46,51.165691,10.451526,"2018",6.965
"89",13,"Germany","Western Europe",10.873,0.903,72.5,0.875,0.011,0.46,51.165691,10.451526,"2019",6.985
"90",13,"Germany","Western Europe",10.873,0.903,72.5,0.875,0.011,0.46,51.165691,10.451526,"2020",7.164500237
"91",13,"Germany","Western Europe",10.873,0.903,72.5,0.875,0.011,0.46,51.165691,10.451526,"2021",7.155
"92",14,"Canada","North America and ANZ",10.776,0.926,73.8,0.915,0.089,0.415,56.130366,-106.346771,"2015",7.427
"93",14,"Canada","North America and ANZ",10.776,0.926,73.8,0.915,0.089,0.415,56.130366,-106.346771,"2016",7.404
"94",14,"Canada","North America and ANZ",10.776,0.926,73.8,0.915,0.089,0.415,56.130366,-106.346771,"2017",7.315999985
"95",14,"Canada","North America and ANZ",10.776,0.926,73.8,0.915,0.089,0.415,56.130366,-106.346771,"2018",7.328
"96",14,"Canada","North America and ANZ",10.776,0.926,73.8,0.915,0.089,0.415,56.130366,-106.346771,"2019",7.278
"97",14,"Canada","North America and ANZ",10.776,0.926,73.8,0.915,0.089,0.415,56.130366,-106.346771,"2020",7.128600121
"98",14,"Canada","North America and ANZ",10.776,0.926,73.8,0.915,0.089,0.415,56.130366,-106.346771,"2021",7.103
"99",15,"Ireland","Western Europe",11.342,0.947,72.4,0.879,0.077,0.363,53.41291,-8.24389,"2015",6.94
"100",15,"Ireland","Western Europe",11.342,0.947,72.4,0.879,0.077,0.363,53.41291,-8.24389,"2016",6.907
"101",15,"Ireland","Western Europe",11.342,0.947,72.4,0.879,0.077,0.363,53.41291,-8.24389,"2017",6.977000237
"102",15,"Ireland","Western Europe",11.342,0.947,72.4,0.879,0.077,0.363,53.41291,-8.24389,"2018",6.977
"103",15,"Ireland","Western Europe",11.342,0.947,72.4,0.879,0.077,0.363,53.41291,-8.24389,"2019",7.021
"104",15,"Ireland","Western Europe",11.342,0.947,72.4,0.879,0.077,0.363,53.41291,-8.24389,"2020",7.121399879
