;country;region;2020;2021;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;latitude;longitude
72;Montenegro;Central and Eastern Europe;5.54610014;5.581;9.94;0.858;68.699;0.708;-0.034;0.812;42.708678;19.37439
73;Dominican Republic;Latin America and Caribbean;5.546000004;5.545;9.802;0.853;66.102;0.86;-0.133;0.714;18.735693;-70.162651
74;North Cyprus;Western Europe;5.541500092;5.536;10.576;0.82;73.898;0.795;0.012;0.626;NA;NA
75;Belarus;Commonwealth of Independent States;5.539899826;5.534;9.853;0.91;66.253;0.65;-0.18;0.627;53.709807;27.953389
76;Russia;Commonwealth of Independent States;5.53550005;5.477;10.189;0.903;64.703;0.718;-0.111;0.845;61.52401;105.318756
77;Hong Kong S.A.R. of China;East Asia;5.514999866;5.477;11;0.836;76.82;0.717;0.067;0.403;NA;NA
78;Tajikistan;Commonwealth of Independent States;5.510399818;5.466;8.091;0.86;64.281;0.832;-0.056;0.553;38.861034;71.276093
79;Vietnam;Southeast Asia;5.504700184;5.411;8.973;0.85;68.034;0.94;-0.098;0.796;14.058324;108.277199
80;Libya;Middle East and North Africa;5.488800049;5.41;9.622;0.827;62.3;0.771;-0.087;0.667;26.3351;17.228331
81;Malaysia;Southeast Asia;5.456200123;5.384;10.238;0.817;67.102;0.895;0.125;0.839;4.210484;101.975766
82;Indonesia;Southeast Asia;5.384300232;5.345;9.365;0.811;62.236;0.873;0.542;0.867;-0.789275;113.921327
83;Congo (Brazzaville);Sub-Saharan Africa;5.353499889;5.342;8.117;0.636;58.221;0.695;-0.068;0.745;NA;NA
84;China;East Asia;5.285600185;5.339;9.673;0.811;69.593;0.904;-0.146;0.755;35.86166;104.195397
85;Ivory Coast;Sub-Saharan Africa;5.233300209;5.306;8.551;0.644;50.114;0.741;-0.016;0.794;NA;NA
86;Armenia;Commonwealth of Independent States;5.21600008;5.283;9.487;0.799;67.055;0.825;-0.168;0.629;40.069099;45.038189
87;Nepal;South Asia;5.197599888;5.269;8.12;0.774;64.233;0.782;0.152;0.727;28.394857;84.124008
88;Bulgaria;Central and Eastern Europe;5.194399834;5.266;10.016;0.931;67;0.788;-0.096;0.932;42.733883;25.48583
89;Maldives;South Asia;5.164800167;5.198;9.826;0.913;70.6;0.854;0.024;0.825;3.202778;73.22068
90;Azerbaijan;Commonwealth of Independent States;5.159800053;5.171;9.569;0.836;65.656;0.814;-0.223;0.506;40.143105;47.576927
91;Cameroon;Sub-Saharan Africa;5.147999763;5.142;8.189;0.71;53.515;0.731;0.026;0.848;7.369722;12.354722
92;Senegal;Sub-Saharan Africa;5.137199879;5.132;8.118;0.71;59.802;0.695;-0.046;0.801;14.497401;-14.452362
93;Albania;Central and Eastern Europe;5.131800175;5.117;9.52;0.697;68.999;0.785;-0.03;0.901;41.153332;20.168331
94;North Macedonia;Central and Eastern Europe;5.123899937;5.101;9.693;0.805;65.474;0.751;0.038;0.905;NA;NA
95;Ghana;Sub-Saharan Africa;5.119100094;5.088;8.58;0.727;57.586;0.807;0.123;0.848;7.946527;-1.023194
96;Niger;Sub-Saharan Africa;5.101500034;5.074;7.098;0.641;53.78;0.806;0.018;0.693;17.607789;8.081666
97;Turkmenistan;Commonwealth of Independent States;5.094799995;5.066;9.629;0.983;62.409;0.877;0.273;0.888;38.969719;59.556278
98;Gambia;Sub-Saharan Africa;5.084899902;5.051;7.686;0.69;55.16;0.697;0.424;0.746;13.443182;-15.310139
99;Benin;Sub-Saharan Africa;5.053199768;5.045;8.087;0.489;54.713;0.757;-0.034;0.661;9.30769;2.315834
100;Laos;Southeast Asia;5.005099773;5.03;8.947;0.728;58.968;0.91;0.123;0.658;19.85627;102.495496
101;Bangladesh;South Asia;4.980800152;5.025;8.454;0.693;64.8;0.877;-0.041;0.682;23.684994;90.356331
102;Guinea;Sub-Saharan Africa;4.949299812;4.984;7.838;0.639;55.008;0.697;0.095;0.766;9.945587;-9.696645
103;South Africa;Sub-Saharan Africa;4.909599781;4.956;9.403;0.86;56.904;0.749;-0.067;0.86;-30.559482;22.937506
104;Turkey;Middle East and North Africa;4.888599873;4.948;10.24;0.822;67.199;0.576;-0.139;0.776;38.963745;35.243322
105;Pakistan;South Asia;4.882699966;4.934;8.458;0.651;58.709;0.726;0.098;0.787;30.375321;69.345116
106;Morocco;Middle East and North Africa;4.848400116;4.918;8.903;0.56;66.208;0.774;-0.236;0.801;31.791702;-7.09262
107;Venezuela;Latin America and Caribbean;4.832799911;4.892;9.073;0.861;66.7;0.615;-0.169;0.827;6.42375;-66.58973
108;Georgia;Commonwealth of Independent States;4.829299927;4.891;9.585;0.671;64.3;0.783;-0.238;0.655;42.315407;43.356892
109;Algeria;Middle East and North Africa;4.814099789;4.887;9.342;0.802;66.005;0.48;-0.067;0.752;28.033886;1.659626
110;Ukraine;Commonwealth of Independent States;4.784800053;4.875;9.436;0.888;64.902;0.724;-0.011;0.924;48.379433;31.16558
111;Iraq;Middle East and North Africa;4.771500111;4.854;9.24;0.746;60.583;0.63;-0.053;0.875;33.223191;43.679291
